id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Sergio Busquets i Burgos,0,2,10,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,6,5,3,0,0,2,0,1,0,0,0,0,5,0
Arturo Erasmo Vidal Pardo,0,1,8,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,4,0
Sergi Roberto Carnicer,2,0,10,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,2,3,0,1,4,0,0,0,1,0,1,0,0,0,5,0
Gerard Piqué Bernabéu,1,1,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,1,5,0,0,0,1,0,0,0,0,0,0,2,0
Marc-André ter Stegen,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
Samuel Yves Umtiti,1,1,10,0,0,0,0,1,3,2,2,0,0,0,0,0,0,1,0,0,2,3,7,0,0,0,1,1,0,0,0,0,1,0
Jordi Alba Ramos,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,7,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0
Antoine Griezmann,1,3,2,0,0,1,0,0,4,0,1,0,0,1,1,0,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Lionel Andrés Messi Cuccittini,1,1,8,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,3,6,3,0,0,0,1,1,0,0,0,0,3,0
Anssumane Fati,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Ivan Rakitić/Ricard Puig Martí,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0
