id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Sergi Roberto Carnicer,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,3,0
Arthur Henrique Ramos de Oliveira Melo,2,2,0,0,0,0,4,3,0,4,0,0,0,0,1,1,0,0,2,2,4,2,0,0,1,1,0,0,0,0,0,0,0
Gerard Piqué Bernabéu,1,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0
Marc-André ter Stegen,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clément Lenglet,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,7,1,0,0,0,0,1,0,0,0,0,1,0
Ivan Rakitić,1,1,0,0,1,2,0,1,2,2,0,0,0,0,0,0,1,1,1,2,2,2,0,1,0,0,0,0,0,0,0,3,0
Héctor Junior Firpo Adames,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,2,1,3,5,5,0,0,0,1,1,0,0,0,0,0,0
Luis Alberto Suárez Díaz,1,3,1,0,2,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Lionel Andrés Messi Cuccittini,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,3,0,0,0,0,0,0,1,0
Antoine Griezmann,1,1,0,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Frenkie de Jong,2,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,2,1,0,5,3,0,0,0,2,0,0,0,0,0,2,0
